mouse_event_count,avg_mouse_speed,mouse_speed_std,mouse_direction_entropy,click_count,click_rate,click_interval_std,scroll_count,scroll_variance,avg_scroll_jump,key_event_count,avg_key_delay,key_delay_std,total_events,event_rate,event_type_entropy,label
155,0.4064098035123998,0.534062350228148,0.5417223673151114,5,2.7829009384304397,1326.2001416267703,529,1569.7385581252713,70.38670163322284,20,0.0,228.81887497164882,709,0.0,0.8689189350713744,1
318,0.797620323661455,1.635170394190391,0.0,10,0.5448006867977913,61.70332373145692,350,0.0,82.14014740357158,142,351.04905082793437,95.72257637599581,820,28.634914435845992,0.6127015761196188,1
136,0.968734581339964,1.0940585663674325,3.3376843141336376,11,0.0,785.2390339306359,398,0.0,96.03270577859894,200,0.0,81.93992454257095,745,7.778870999397377,1.6145475334224526,1
293,0.5486684559915029,0.0,3.230467948155799,8,1.48500526561559,1064.3142068554648,234,250.98882006770577,58.1413436170656,133,0.0,149.68262908257685,668,0.0,1.658076497434135,1
59,1.057887852237076,2.271949905614623,1.8772044156951282,18,1.5372063943829908,2414.084137750279,640,1185.980337910034,52.52123552686395,170,63.41091970595271,104.5404094685665,887,0.0,1.19727479001188,1
67,0.8883229907818753,1.241374607237608,0.0,7,1.3362847335643298,0.0,135,0.0,0.0,194,260.2767348990467,0.0,403,17.425452044771397,0.5614352722372589,1
234,0.5542265157025612,0.8072262820104735,2.062083303105124,10,0.6027578930538768,262.0202680415264,957,1007.5358656604178,36.464957789924114,67,193.0072293430269,0.0,1268,12.316654672958709,1.0405405115234132,1
24,0.5969277024357333,0.9671364187213289,3.851857691896078,17,0.0,0.0,108,1421.5486038574927,89.36903544464495,57,0.0,139.96359710762295,206,3.497042292329737,1.2379266314459585,0
257,0.7225095466059572,1.6148356682358778,2.63922250477102,1,0.6506320826334003,1267.2940643654547,713,2660.613908887276,93.4114134424593,4,62.08339473703994,39.649449393033706,975,17.25395141739789,2.0363141947164234,1
174,0.9399536789845084,0.7112738462113711,3.963223747019336,21,0.0,1438.8406859465053,113,1042.38835251707,0.0,11,161.68675603468068,0.0,319,7.4405026910395,2.114564181355651,0
