mouse_event_count,avg_mouse_speed,mouse_speed_std,mouse_direction_entropy,click_rate,scroll_variance,avg_key_delay,label
221,0.9851634139972445,0.8078991884249151,5.008926657663531,0.15015126420425984,4441.919863865176,762.4817716408066,0
6,4.473782702812159,0.08363406337441698,0.6884246850910108,1.1823823779296188,1.0118068333186903,5.699140476415015,1
50,0.32092855927054886,0.5581021901338159,5.196338891185503,0.08819451211670701,3021.9581578079583,538.8960729999133,0
133,0.6489728875699177,2.466299271612801,5.929037152385046,0.2770076675471941,4957.178418203618,713.0465515234107,0
28,3.418887249698355,0.04972988209118647,0.22659140554510293,0.919938041168299,13.303595829335196,19.724113727244763,1
115,0.789224974559027,0.8622322027149074,4.83975926651956,0.13900651046832474,4270.780683741075,971.9540264655226,0
16,3.893359034050032,0.01411066596980531,0.37188780444067115,1.4055702804898833,41.13794024428302,6.124975042938937,1
28,4.6642707910563495,0.06528455396368497,0.7827408998323989,1.2311491349959995,5.003578456825458,6.482756899042368,1
225,1.3068673914977484,1.3827489656634888,4.1484701069028755,0.1666126137969725,2820.005025157975,317.5251904140834,0
365,1.259986598413761,2.26437907504663,3.655672472415656,0.038252748267912084,1478.1278984981136,405.41305635491057,0
18,4.576404238703127,0.03759085741398663,0.8162487213899581,1.2168827889103897,0.9574837646031897,6.117573338616715,1
437,0.6520744221799631,1.6162806915811736,4.056673692792593,0.12580579604746991,1233.4096992449663,120.65605045382256,0
20,2.409904814848148,0.09663615535409112,0.9989364706123136,0.8265243157037209,11.151399766886877,14.15151201111718,1
8,4.9182735895042775,0.012462580016829667,0.6133241791838998,1.3900017966267115,42.694322399657395,10.87359017484081,1
16,2.9050260928685105,0.028578457135429447,0.049890034413574424,1.1384594361756688,26.730585336946177,18.963472474827075,1
22,4.699913791549965,0.09006492153415281,0.8303055913824064,1.1772880839251871,11.027606957423064,14.20702573788725,1
385,0.6030220627006373,2.4173162269651907,3.7349374866974583,0.2989630872464991,719.9375074062397,813.5086648133222,0
9,3.8390719147179277,0.0506501504334486,0.3094338092856629,1.0312432762201826,19.639849122237752,14.656272725734636,1
406,0.6867221419290657,1.7200011331794562,5.983066792473107,0.15632455590929,3424.4399447473147,307.8899151283825,0
359,0.7082601450140591,2.479282054189187,3.117117104430403,0.2931396929043923,3895.7757823824127,635.7070338194379,0
280,0.7442997463861578,1.0904613192328014,3.7222654394202026,0.017035262848134048,879.5789276478596,203.10733043280322,0
474,0.5084466527410842,1.5118640321622887,3.4166549393060555,0.21313659365005846,2169.0351271218005,549.5714990152776,0
473,1.137039196022026,0.7203663516683889,4.270603838546673,0.28118550815942867,1586.9500498577604,881.9547922377596,0
7,3.692421206421199,0.07465116432504132,0.731676698565601,1.485137078591466,45.49314367726639,6.871116906831075,1
25,4.359114677403134,0.01846466284635445,0.2925923849670087,0.92806486930254,9.712098183428159,11.789557848336788,1
241,1.1001057305833992,0.5356832498489332,3.7766165053322664,0.04613544933329608,2942.7984285761077,227.35138875078303,0
59,0.2631693820957692,1.0774464005426807,4.844445288389358,0.15567005888172974,2711.4993583677365,576.2153700186657,0
8,2.532746110316206,0.08551216069952988,0.697420250309048,1.4649149061454327,12.369213502079718,8.927815586846648,1
72,1.4394009503863798,0.9397093489466448,3.346563556603468,0.0755879836827073,3125.2377802314372,241.46781841976917,0
153,1.1138073095213352,2.440885470287995,5.091908084170479,0.29748474640689565,621.6668522003373,529.1653900781802,0
278,1.242971727419794,2.4778907870591205,5.7749989271037245,0.28835270763374415,2446.9884430476413,211.73128558631487,0
